budget_usd,employees_impacted,duration_months,risk_level,risk_numeric,success
171958,280,18,low,1,1
196867,63,17,medium,2,1
181932,453,17,medium,2,1
415838,110,7,low,1,1
309178,490,23,low,1,1
169879,273,16,low,1,1
160268,62,4,medium,2,1
257892,69,13,medium,2,1
104886,117,21,high,3,1
187337,14,9,low,1,0
480410,112,8,medium,2,0
137498,205,4,medium,2,1
424871,271,8,low,1,1
438468,374,20,high,3,1
225203,489,4,low,1,1
241335,381,20,high,3,1
328167,359,17,medium,2,1
91090,56,21,high,3,1
379365,364,4,medium,2,1
114820,320,22,low,1,1
312913,433,8,low,1,1
371879,317,3,low,1,1
244027,153,17,high,3,1
377069,278,12,medium,2,1
302709,379,21,low,1,1
249041,133,19,low,1,1
317455,115,7,medium,2,1
153355,167,6,low,1,1
285796,156,12,medium,2,1
264176,154,19,medium,2,1
234779,129,12,medium,2,1
397449,328,19,medium,2,1
471909,284,22,medium,2,1
308795,101,7,high,3,0
442752,67,4,low,1,1
206730,448,8,high,3,1
396622,355,23,low,1,1
434681,238,4,high,3,1
199503,483,15,medium,2,1
180523,126,13,low,1,1
52747,327,13,low,1,1
173855,288,18,high,3,1
115725,136,13,high,3,1
179981,402,21,low,1,1
134654,405,17,high,3,1
478989,138,18,high,3,0
431490,67,13,high,3,0
117435,131,18,medium,2,1
369030,10,10,medium,2,0
378947,248,6,high,3,1
81551,299,10,high,3,1
428360,105,6,medium,2,0
323538,135,5,medium,2,1
381236,127,5,low,1,1
53890,57,20,low,1,1
91606,98,21,medium,2,1
306840,497,21,high,3,1
399457,246,23,high,3,1
191699,382,7,high,3,1
320936,394,20,high,3,1
289931,281,12,low,1,1
289629,198,23,medium,2,1
255041,496,8,high,3,1
224073,201,3,low,1,1
257624,456,7,high,3,1
467113,78,11,medium,2,0
118148,287,14,low,1,1
302801,358,16,medium,2,1
174243,256,4,medium,2,1
301995,460,19,low,1,1
432318,85,16,low,1,1
204555,163,15,low,1,1
436502,153,11,low,1,1
98555,444,17,low,1,1
306508,494,17,low,1,1
329303,95,13,low,1,1
422654,194,18,high,3,1
156530,294,19,medium,2,1
130077,471,6,low,1,1
348064,229,3,high,3,1
250551,78,10,high,3,0
